Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
03/09/2008,14:00,"Dortmund Square	",991,Wednesday,36,September,2008
03/09/2008,15:00,"Dortmund Square	",1001,Wednesday,36,September,2008
03/09/2008,16:00,"Dortmund Square	",1079,Wednesday,36,September,2008
03/09/2008,17:00,"Dortmund Square	",884,Wednesday,36,September,2008
03/09/2008,18:00,"Dortmund Square	",454,Wednesday,36,September,2008
03/09/2008,19:00,"Dortmund Square	",219,Wednesday,36,September,2008
03/09/2008,20:00,"Dortmund Square	",232,Wednesday,36,September,2008
03/09/2008,21:00,"Dortmund Square	",155,Wednesday,36,September,2008
03/09/2008,22:00,"Dortmund Square	",190,Wednesday,36,September,2008
03/09/2008,23:00,"Dortmund Square	",81,Wednesday,36,September,2008
04/09/2008,00:00,"Dortmund Square	",17,Thursday,36,September,2008
04/09/2008,01:00,"Dortmund Square	",9,Thursday,36,September,2008
04/09/2008,02:00,"Dortmund Square	",6,Thursday,36,September,2008
04/09/2008,03:00,"Dortmund Square	",7,Thursday,36,September,2008
04/09/2008,04:00,"Dortmund Square	",1,Thursday,36,September,2008
04/09/2008,05:00,"Dortmund Square	",13,Thursday,36,September,2008
04/09/2008,06:00,"Dortmund Square	",60,Thursday,36,September,2008
04/09/2008,07:00,"Dortmund Square	",136,Thursday,36,September,2008
04/09/2008,08:00,"Dortmund Square	",306,Thursday,36,September,2008
04/09/2008,09:00,"Dortmund Square	",455,Thursday,36,September,2008
04/09/2008,10:00,"Dortmund Square	",774,Thursday,36,September,2008
04/09/2008,11:00,"Dortmund Square	",898,Thursday,36,September,2008
04/09/2008,12:00,"Dortmund Square	",1198,Thursday,36,September,2008
04/09/2008,13:00,"Dortmund Square	",1180,Thursday,36,September,2008
04/09/2008,14:00,"Dortmund Square	",1181,Thursday,36,September,2008
04/09/2008,15:00,"Dortmund Square	",1075,Thursday,36,September,2008
04/09/2008,16:00,"Dortmund Square	",1125,Thursday,36,September,2008
04/09/2008,17:00,"Dortmund Square	",1227,Thursday,36,September,2008
04/09/2008,18:00,"Dortmund Square	",701,Thursday,36,September,2008
04/09/2008,19:00,"Dortmund Square	",356,Thursday,36,September,2008
04/09/2008,20:00,"Dortmund Square	",235,Thursday,36,September,2008
