Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
03/07/2008,06:00,"Briggate at McDonalds	",101,Thursday,27,June,2008
03/07/2008,07:00,"Briggate at McDonalds	",315,Thursday,27,June,2008
03/07/2008,08:00,"Briggate at McDonalds	",473,Thursday,27,June,2008
03/07/2008,09:00,"Briggate at McDonalds	",488,Thursday,27,June,2008
03/07/2008,10:00,"Briggate at McDonalds	",1049,Thursday,27,June,2008
03/07/2008,11:00,"Briggate at McDonalds	",1587,Thursday,27,June,2008
03/07/2008,12:00,"Briggate at McDonalds	",2169,Thursday,27,June,2008
03/07/2008,13:00,"Briggate at McDonalds	",2245,Thursday,27,June,2008
03/07/2008,14:00,"Briggate at McDonalds	",1876,Thursday,27,June,2008
03/07/2008,15:00,"Briggate at McDonalds	",1317,Thursday,27,June,2008
03/07/2008,16:00,"Briggate at McDonalds	",1508,Thursday,27,June,2008
03/07/2008,17:00,"Briggate at McDonalds	",1390,Thursday,27,June,2008
03/07/2008,18:00,"Briggate at McDonalds	",1176,Thursday,27,June,2008
03/07/2008,19:00,"Briggate at McDonalds	",733,Thursday,27,June,2008
03/07/2008,20:00,"Briggate at McDonalds	",401,Thursday,27,June,2008
03/07/2008,21:00,"Briggate at McDonalds	",288,Thursday,27,June,2008
03/07/2008,22:00,"Briggate at McDonalds	",227,Thursday,27,June,2008
03/07/2008,23:00,"Briggate at McDonalds	",173,Thursday,27,June,2008
04/07/2008,00:00,"Briggate at McDonalds	",70,Friday,27,June,2008
04/07/2008,01:00,"Briggate at McDonalds	",68,Friday,27,June,2008
04/07/2008,02:00,"Briggate at McDonalds	",41,Friday,27,June,2008
04/07/2008,03:00,"Briggate at McDonalds	",39,Friday,27,June,2008
04/07/2008,04:00,"Briggate at McDonalds	",33,Friday,27,June,2008
04/07/2008,05:00,"Briggate at McDonalds	",21,Friday,27,June,2008
04/07/2008,06:00,"Briggate at McDonalds	",121,Friday,27,June,2008
04/07/2008,07:00,"Briggate at McDonalds	",235,Friday,27,June,2008
04/07/2008,08:00,"Briggate at McDonalds	",429,Friday,27,June,2008
04/07/2008,09:00,"Briggate at McDonalds	",604,Friday,27,June,2008
04/07/2008,10:00,"Briggate at McDonalds	",1226,Friday,27,June,2008
04/07/2008,11:00,"Briggate at McDonalds	",1688,Friday,27,June,2008
04/07/2008,12:00,"Briggate at McDonalds	",2079,Friday,27,June,2008
04/07/2008,13:00,"Briggate at McDonalds	",2164,Friday,27,June,2008
04/07/2008,14:00,"Briggate at McDonalds	",1702,Friday,27,June,2008
04/07/2008,15:00,"Briggate at McDonalds	",1702,Friday,27,June,2008
04/07/2008,16:00,"Briggate at McDonalds	",1462,Friday,27,June,2008
04/07/2008,17:00,"Briggate at McDonalds	",1457,Friday,27,June,2008
04/07/2008,18:00,"Briggate at McDonalds	",846,Friday,27,June,2008
04/07/2008,19:00,"Briggate at McDonalds	",606,Friday,27,June,2008
04/07/2008,20:00,"Briggate at McDonalds	",460,Friday,27,June,2008
04/07/2008,21:00,"Briggate at McDonalds	",422,Friday,27,June,2008
04/07/2008,22:00,"Briggate at McDonalds	",456,Friday,27,June,2008
04/07/2008,23:00,"Briggate at McDonalds	",342,Friday,27,June,2008
05/07/2008,00:00,"Briggate at McDonalds	",235,Saturday,27,June,2008
05/07/2008,01:00,"Briggate at McDonalds	",172,Saturday,27,June,2008
05/07/2008,02:00,"Briggate at McDonalds	",153,Saturday,27,June,2008
05/07/2008,03:00,"Briggate at McDonalds	",109,Saturday,27,June,2008
05/07/2008,04:00,"Briggate at McDonalds	",83,Saturday,27,June,2008
05/07/2008,05:00,"Briggate at McDonalds	",38,Saturday,27,June,2008
05/07/2008,06:00,"Briggate at McDonalds	",58,Saturday,27,June,2008
05/07/2008,07:00,"Briggate at McDonalds	",138,Saturday,27,June,2008
05/07/2008,08:00,"Briggate at McDonalds	",282,Saturday,27,June,2008
05/07/2008,09:00,"Briggate at McDonalds	",808,Saturday,27,June,2008
05/07/2008,10:00,"Briggate at McDonalds	",904,Saturday,27,June,2008
05/07/2008,11:00,"Briggate at McDonalds	",1310,Saturday,27,June,2008
05/07/2008,12:00,"Briggate at McDonalds	",1644,Saturday,27,June,2008
05/07/2008,13:00,"Briggate at McDonalds	",2165,Saturday,27,June,2008
05/07/2008,14:00,"Briggate at McDonalds	",2054,Saturday,27,June,2008
05/07/2008,15:00,"Briggate at McDonalds	",1435,Saturday,27,June,2008
05/07/2008,16:00,"Briggate at McDonalds	",1364,Saturday,27,June,2008
05/07/2008,17:00,"Briggate at McDonalds	",1452,Saturday,27,June,2008
05/07/2008,18:00,"Briggate at McDonalds	",919,Saturday,27,June,2008
05/07/2008,19:00,"Briggate at McDonalds	",538,Saturday,27,June,2008
05/07/2008,20:00,"Briggate at McDonalds	",338,Saturday,27,June,2008
05/07/2008,21:00,"Briggate at McDonalds	",410,Saturday,27,June,2008
05/07/2008,22:00,"Briggate at McDonalds	",400,Saturday,27,June,2008
05/07/2008,23:00,"Briggate at McDonalds	",326,Saturday,27,June,2008
06/07/2008,00:00,"Briggate at McDonalds	",312,Sunday,27,June,2008
06/07/2008,01:00,"Briggate at McDonalds	",245,Sunday,27,June,2008
06/07/2008,02:00,"Briggate at McDonalds	",225,Sunday,27,June,2008
06/07/2008,03:00,"Briggate at McDonalds	",158,Sunday,27,June,2008
06/07/2008,04:00,"Briggate at McDonalds	",127,Sunday,27,June,2008
06/07/2008,05:00,"Briggate at McDonalds	",51,Sunday,27,June,2008
06/07/2008,06:00,"Briggate at McDonalds	",42,Sunday,27,June,2008
